Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
17%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.598203424
17%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.717943326
17%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.893884468
17%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.911113437
17%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.876409275
17%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.816210479
17%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.75475786
17%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.495599341
17%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581967229
17%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646940741
17%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718878527
17%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.793005148
17%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.85881396
17%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.89749323
17%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.893543635
17%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.861113686
17%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.812290117
17%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.75475782

18%,Elastic Shakedown,Extra,IPC,1.75.E+08,0,0.358853504
18%,Elastic Shakedown,Extra,IPC,1.58.E+08,2.207,0.3987447
18%,Elastic Shakedown,Extra,IPC,1.40.E+08,4.414,0.44858216
18%,Elastic Shakedown,Extra,IPC,1.23.E+08,6.621,0.512697051
18%,Elastic Shakedown,Extra,IPC,1.05.E+08,8.828,0.597039457
18%,Elastic Shakedown,Extra,IPC,8.75.E+07,11.035,0.687101325
18%,Elastic Shakedown,Extra,IPC,7.00.E+07,13.242,0.718983131
18%,Elastic Shakedown,Extra,IPC,5.25.E+07,15.449,0.740858165
18%,Elastic Shakedown,Extra,IPC,3.50.E+07,17.656,0.754014895
18%,Elastic Shakedown,Extra,IPC,1.75.E+07,19.863,0.759500946
18%,Elastic Shakedown,Extra,IPC,0.00.E+00,22.07,0.754757838
18%,Elastic Shakedown,Extra,IPO,1.75.E+08,0,0.358853538
18%,Elastic Shakedown,Extra,IPO,1.58.E+08,2.207,0.398741983
18%,Elastic Shakedown,Extra,IPO,1.40.E+08,4.414,0.448614655
18%,Elastic Shakedown,Extra,IPO,1.23.E+08,6.621,0.512746641
18%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.598203424
18%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.717943326
18%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.893884468
18%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.911113437
18%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.876409275
18%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.816210479
18%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.75475786
18%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.495599341
18%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581967229
18%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646940741
18%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718878527
18%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.793005148
18%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.85881396
18%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.89749323
18%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.893543635
18%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.861113686
18%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.812290117
18%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.75475782
19%,Elastic Shakedown,Extra,IPC,1.75.E+08,0,0.358853504
19%,Elastic Shakedown,Extra,IPC,1.58.E+08,2.207,0.3987447
19%,Elastic Shakedown,Extra,IPC,1.40.E+08,4.414,0.44858216
19%,Elastic Shakedown,Extra,IPC,1.23.E+08,6.621,0.512697051
19%,Elastic Shakedown,Extra,IPC,1.05.E+08,8.828,0.597039457
19%,Elastic Shakedown,Extra,IPC,8.75.E+07,11.035,0.687101325
19%,Elastic Shakedown,Extra,IPC,7.00.E+07,13.242,0.718983131
19%,Elastic Shakedown,Extra,IPC,5.25.E+07,15.449,0.740858165
19%,Elastic Shakedown,Extra,IPC,3.50.E+07,17.656,0.754014895
19%,Elastic Shakedown,Extra,IPC,1.75.E+07,19.863,0.759500946
19%,Elastic Shakedown,Extra,IPC,0.00.E+00,22.07,0.754757838
19%,Elastic Shakedown,Extra,IPO,1.75.E+08,0,0.358853538
19%,Elastic Shakedown,Extra,IPO,1.58.E+08,2.207,0.398741983
19%,Elastic Shakedown,Extra,IPO,1.40.E+08,4.414,0.448614655
19%,Elastic Shakedown,Extra,IPO,1.23.E+08,6.621,0.512746641
