Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Extra,IPO,50%,Elastic Shakedown,15.449,5.25E+07,0.907316439
Extra,IPO,50%,Elastic Shakedown,17.656,3.50E+07,0.840557251
Extra,IPO,50%,Elastic Shakedown,19.863,1.75E+07,0.758248359
Extra,IPO,50%,Elastic Shakedown,22.07,0.00E+00,0.687911698
Extra,IPC,30%,Elastic Shakedown,0,1.75E+08,0.357551504
Extra,IPC,30%,Elastic Shakedown,2.207,1.58E+08,0.397297811
Extra,IPC,30%,Elastic Shakedown,4.414,1.40E+08,0.446997725
Extra,IPC,30%,Elastic Shakedown,6.621,1.23E+08,0.510894095
Extra,IPC,30%,Elastic Shakedown,8.828,1.05E+08,0.594889053
Extra,IPC,30%,Elastic Shakedown,11.035,8.75E+07,0.684483702
Extra,IPC,30%,Elastic Shakedown,13.242,7.00E+07,0.717020266
Extra,IPC,30%,Elastic Shakedown,15.449,5.25E+07,0.739366971
Extra,IPC,30%,Elastic Shakedown,17.656,3.50E+07,0.752889802
Extra,IPC,30%,Elastic Shakedown,19.863,1.75E+07,0.758592891
Extra,IPC,30%,Elastic Shakedown,22.07,0.00E+00,0.754109392
Extra,IPC,50%,Elastic Shakedown,0,1.75E+08,0.35586602
Extra,IPC,50%,Elastic Shakedown,2.207,1.58E+08,0.395423994
Extra,IPC,50%,Elastic Shakedown,4.414,1.40E+08,0.444847686
Extra,IPC,50%,Elastic Shakedown,6.621,1.23E+08,0.508438249
Extra,IPC,50%,Elastic Shakedown,8.828,1.05E+08,0.592267412
Extra,IPC,50%,Elastic Shakedown,11.035,8.75E+07,0.682450966
Extra,IPC,50%,Elastic Shakedown,13.242,7.00E+07,0.715605489
Extra,IPC,50%,Elastic Shakedown,15.449,5.25E+07,0.738358145
Extra,IPC,50%,Elastic Shakedown,17.656,3.50E+07,0.751923207
Extra,IPC,50%,Elastic Shakedown,19.863,1.75E+07,0.742304124
Extra,IPC,50%,Elastic Shakedown,22.07,0.00E+00,0.687911679
Extra,OP,30%,Elastic Shakedown,0,1.75E+08,0.523471666
Extra,OP,30%,Elastic Shakedown,2.207,1.58E+08,0.581635185
Extra,OP,30%,Elastic Shakedown,4.414,1.40E+08,0.646567118
Extra,OP,30%,Elastic Shakedown,6.621,1.23E+08,0.718453241
Extra,OP,30%,Elastic Shakedown,8.828,1.05E+08,0.792516761
Extra,OP,30%,Elastic Shakedown,11.035,8.75E+07,0.858246843
Extra,OP,30%,Elastic Shakedown,13.242,7.00E+07,0.896854556
Extra,OP,30%,Elastic Shakedown,15.449,5.25E+07,0.892850758
Extra,OP,30%,Elastic Shakedown,17.656,3.50E+07,0.860444233
Extra,OP,30%,Elastic Shakedown,19.863,1.75E+07,0.811573513
Extra,OP,30%,Elastic Shakedown,22.07,0.00E+00,0.754109379
Extra,OP,50%,Elastic Shakedown,0,1.75E+08,0.523266661
Extra,OP,50%,Elastic Shakedown,2.207,1.58E+08,0.581407401
Extra,OP,50%,Elastic Shakedown,4.414,1.40E+08,0.64625778
Extra,OP,50%,Elastic Shakedown,6.621,1.23E+08,0.718104484
Extra,OP,50%,Elastic Shakedown,8.828,1.05E+08,0.792119461
Extra,OP,50%,Elastic Shakedown,11.035,8.75E+07,0.85779358
Extra,OP,50%,Elastic Shakedown,13.242,7.00E+07,0.896362546
Extra,OP,50%,Elastic Shakedown,15.449,5.25E+07,0.891108076
Extra,OP,50%,Elastic Shakedown,17.656,3.50E+07,0.837136371
Extra,OP,50%,Elastic Shakedown,19.863,1.75E+07,0.758999436
Extra,OP,50%,Elastic Shakedown,22.07,0.00E+00,0.687911681
Crown,IPO,30%,Elastic Shakedown,0,1.75E+08,0.310023131
Crown,IPO,30%,Elastic Shakedown,2.207,1.58E+08,0.344483273
Crown,IPO,30%,Elastic Shakedown,4.414,1.40E+08,0.387573508
Crown,IPO,30%,Elastic Shakedown,6.621,1.23E+08,0.442988147
Crown,IPO,30%,Elastic Shakedown,8.828,1.05E+08,0.516834401
Crown,IPO,30%,Elastic Shakedown,11.035,8.75E+07,0.620346749
Crown,IPO,30%,Elastic Shakedown,13.242,7.00E+07,0.771591746
Crown,IPO,30%,Elastic Shakedown,15.449,5.25E+07,0.81705821
Crown,IPO,30%,Elastic Shakedown,17.656,3.50E+07,0.80136173
Crown,IPO,30%,Elastic Shakedown,19.863,1.75E+07,0.756649794
Crown,IPO,30%,Elastic Shakedown,22.07,0.00E+00,0.683548204
Crown,IPO,50%,Elastic Shakedown,0,1.75E+08,0.27483369
Crown,IPO,50%,Elastic Shakedown,2.207,1.58E+08,0.305390084
Crown,IPO,50%,Elastic Shakedown,4.414,1.40E+08,0.343604147
Crown,IPO,50%,Elastic Shakedown,6.621,1.23E+08,0.392748075
Crown,IPO,50%,Elastic Shakedown,8.828,1.05E+08,0.458249296
Crown,IPO,50%,Elastic Shakedown,11.035,8.75E+07,0.550085369
Crown,IPO,50%,Elastic Shakedown,13.242,7.00E+07,0.687606712
Crown,IPO,50%,Elastic Shakedown,15.449,5.25E+07,0.693177473
Crown,IPO,50%,Elastic Shakedown,17.656,3.50E+07,0.679354307
Crown,IPO,50%,Elastic Shakedown,19.863,1.75E+07,0.654935686
Crown,IPO,50%,Elastic Shakedown,22.07,0.00E+00,0.620083084
Crown,IPC,30%,Elastic Shakedown,0,1.75E+08,0.310023128
Crown,IPC,30%,Elastic Shakedown,2.207,1.58E+08,0.344484472
Crown,IPC,30%,Elastic Shakedown,4.414,1.40E+08,0.387567667
Crown,IPC,30%,Elastic Shakedown,6.621,1.23E+08,0.442981268
Crown,IPC,30%,Elastic Shakedown,8.828,1.05E+08,0.516892983
Crown,IPC,30%,Elastic Shakedown,11.035,8.75E+07,0.620271579
Crown,IPC,30%,Elastic Shakedown,13.242,7.00E+07,0.662929256
Crown,IPC,30%,Elastic Shakedown,15.449,5.25E+07,0.681370206
Crown,IPC,30%,Elastic Shakedown,17.656,3.50E+07,0.693214198
Crown,IPC,30%,Elastic Shakedown,19.863,1.75E+07,0.69952105
Crown,IPC,30%,Elastic Shakedown,22.07,0.00E+00,0.698487618
Crown,IPC,50%,Elastic Shakedown,0,1.75E+08,0.274833667
Crown,IPC,50%,Elastic Shakedown,2.207,1.58E+08,0.305355367
Crown,IPC,50%,Elastic Shakedown,4.414,1.40E+08,0.343585515
Crown,IPC,50%,Elastic Shakedown,6.621,1.23E+08,0.392689533
Crown,IPC,50%,Elastic Shakedown,8.828,1.05E+08,0.458225971
Crown,IPC,50%,Elastic Shakedown,11.035,8.75E+07,0.549554369
Crown,IPC,50%,Elastic Shakedown,13.242,7.00E+07,0.617320427
Crown,IPC,50%,Elastic Shakedown,15.449,5.25E+07,0.628055351
Crown,IPC,50%,Elastic Shakedown,17.656,3.50E+07,0.632330344
Crown,IPC,50%,Elastic Shakedown,19.863,1.75E+07,0.630412074
Crown,IPC,50%,Elastic Shakedown,22.07,0.00E+00,0.620083083
Crown,OP,30%,Elastic Shakedown,0,1.75E+08,0.431310353
Crown,OP,30%,Elastic Shakedown,2.207,1.58E+08,0.479234178
Crown,OP,30%,Elastic Shakedown,4.414,1.40E+08,0.53897357
Crown,OP,30%,Elastic Shakedown,6.621,1.23E+08,0.615385541
Crown,OP,30%,Elastic Shakedown,8.828,1.05E+08,0.717949798
Crown,OP,30%,Elastic Shakedown,11.035,8.75E+07,0.791609951
Crown,OP,30%,Elastic Shakedown,13.242,7.00E+07,0.824652149
Crown,OP,30%,Elastic Shakedown,15.449,5.25E+07,0.821987773
Crown,OP,30%,Elastic Shakedown,17.656,3.50E+07,0.794400141
Crown,OP,30%,Elastic Shakedown,19.863,1.75E+07,0.75108256
Crown,OP,30%,Elastic Shakedown,22.07,0.00E+00,0.698487612
Crown,OP,50%,Elastic Shakedown,0,1.75E+08,0.372971096
Crown,OP,50%,Elastic Shakedown,2.207,1.58E+08,0.414425783
Crown,OP,50%,Elastic Shakedown,4.414,1.40E+08,0.466268192
Crown,OP,50%,Elastic Shakedown,6.621,1.23E+08,0.532945857
Crown,OP,50%,Elastic Shakedown,8.828,1.05E+08,0.621021956
Crown,OP,50%,Elastic Shakedown,11.035,8.75E+07,0.71442647
Crown,OP,50%,Elastic Shakedown,13.242,7.00E+07,0.738910349
Crown,OP,50%,Elastic Shakedown,15.449,5.25E+07,0.73021042
Crown,OP,50%,Elastic Shakedown,17.656,3.50E+07,0.702200689
Crown,OP,50%,Elastic Shakedown,19.863,1.75E+07,0.663902721
Crown,OP,50%,Elastic Shakedown,22.07,0.00E+00,0.620083092
Intra,IPO,30%,Limit load,0,1.75E+08,0.467623966
Intra,IPO,30%,Limit load,2.207,1.58E+08,0.528548658
Intra,IPO,30%,Limit load,4.414,1.40E+08,0.602078919
Intra,IPO,30%,Limit load,6.621,1.23E+08,0.688501571
Intra,IPO,30%,Limit load,8.828,1.05E+08,0.785114977
Intra,IPO,30%,Limit load,11.035,8.75E+07,0.884439037
Intra,IPO,30%,Limit load,13.242,7.00E+07,0.957733079
Intra,IPO,30%,Limit load,15.449,5.25E+07,0.949240908
Intra,IPO,30%,Limit load,17.656,3.50E+07,0.880013711
Intra,IPO,30%,Limit load,19.863,1.75E+07,0.782101818
Intra,IPO,30%,Limit load,22.07,0.00E+00,0.681767589
Intra,IPO,50%,Limit load,0,1.75E+08,0.46446924
Intra,IPO,50%,Limit load,2.207,1.58E+08,0.525022331
Intra,IPO,50%,Limit load,4.414,1.40E+08,0.598215016
Intra,IPO,50%,Limit load,6.621,1.23E+08,0.68442498
Intra,IPO,50%,Limit load,8.828,1.05E+08,0.780710805
Intra,IPO,50%,Limit load,11.035,8.75E+07,0.86998294
Intra,IPO,50%,Limit load,13.242,7.00E+07,0.886843579
Intra,IPO,50%,Limit load,15.449,5.25E+07,0.821598162
Intra,IPO,50%,Limit load,17.656,3.50E+07,0.737744156
Intra,IPO,50%,Limit load,19.863,1.75E+07,0.655723125
Intra,IPO,50%,Limit load,22.07,0.00E+00,0.582447616
Intra,IPC,30%,Limit load,0,1.75E+08,0.467623976
Intra,IPC,30%,Limit load,2.207,1.58E+08,0.507843891
Intra,IPC,30%,Limit load,4.414,1.40E+08,0.55146135
Intra,IPC,30%,Limit load,6.621,1.23E+08,0.597066754
