Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
25%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.876103582
25%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.81596028
25%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.754515685
25%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.495417225
25%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581908278
25%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646870599
25%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718788049
25%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.792883162
25%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.858644981
25%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.897293326
25%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.893317956
25%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.860929981
25%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.812024403
25%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.754515688
25%,Limit Load,Extra,IPC,1.75.E+08,0,0.471810251
25%,Limit Load,Extra,IPC,1.58.E+08,2.207,0.51241742
25%,Limit Load,Extra,IPC,1.40.E+08,4.414,0.556362981
25%,Limit Load,Extra,IPC,1.23.E+08,6.621,0.602030023
25%,Limit Load,Extra,IPC,1.05.E+08,8.828,0.647117727
25%,Limit Load,Extra,IPC,8.75.E+07,11.035,0.689445322
25%,Limit Load,Extra,IPC,7.00.E+07,13.242,0.725265177
25%,Limit Load,Extra,IPC,5.25.E+07,15.449,0.750570672
25%,Limit Load,Extra,IPC,3.50.E+07,17.656,0.763158862
25%,Limit Load,Extra,IPC,1.75.E+07,19.863,0.765606902
25%,Limit Load,Extra,IPC,0.00.E+00,22.07,0.754515687
25%,Limit Load,Extra,IPO,1.75.E+08,0,0.471810261
25%,Limit Load,Extra,IPO,1.58.E+08,2.207,0.533310461
25%,Limit Load,Extra,IPO,1.40.E+08,4.414,0.607394591
25%,Limit Load,Extra,IPO,1.23.E+08,6.621,0.694033567
25%,Limit Load,Extra,IPO,1.05.E+08,8.828,0.790692452
25%,Limit Load,Extra,IPO,8.75.E+07,11.035,0.88936952
25%,Limit Load,Extra,IPO,7.00.E+07,13.242,0.970901391
25%,Limit Load,Extra,IPO,5.25.E+07,15.449,1.022811836
25%,Limit Load,Extra,IPO,3.50.E+07,17.656,1.000673182
25%,Limit Load,Extra,IPO,1.75.E+07,19.863,0.889223997
25%,Limit Load,Extra,IPO,0.00.E+00,22.07,0.75451569
25%,Limit Load,Extra,OP,1.75.E+08,0,0.526928285
25%,Limit Load,Extra,OP,1.58.E+08,2.207,0.58364638
25%,Limit Load,Extra,OP,1.40.E+08,4.414,0.648483625
25%,Limit Load,Extra,OP,1.23.E+08,6.621,0.720532215
25%,Limit Load,Extra,OP,1.05.E+08,8.828,0.795411264
25%,Limit Load,Extra,OP,8.75.E+07,11.035,0.863724825
25%,Limit Load,Extra,OP,7.00.E+07,13.242,0.910791746
25%,Limit Load,Extra,OP,5.25.E+07,15.449,0.921644722
25%,Limit Load,Extra,OP,3.50.E+07,17.656,0.892473121
25%,Limit Load,Extra,OP,1.75.E+07,19.863,0.830343867
25%,Limit Load,Extra,OP,0.00.E+00,22.07,0.754515698
35%,Elastic Shakedown,Extra,IPC,1.75.E+08,0,0.355076399
35%,Elastic Shakedown,Extra,IPC,1.58.E+08,2.207,0.394545674
35%,Elastic Shakedown,Extra,IPC,1.40.E+08,4.414,0.443891571
35%,Elastic Shakedown,Extra,IPC,1.23.E+08,6.621,0.507314213
35%,Elastic Shakedown,Extra,IPC,1.05.E+08,8.828,0.591246218
35%,Elastic Shakedown,Extra,IPC,8.75.E+07,11.035,0.685030073
35%,Elastic Shakedown,Extra,IPC,7.00.E+07,13.242,0.71749412
35%,Elastic Shakedown,Extra,IPC,5.25.E+07,15.449,0.739811589
35%,Elastic Shakedown,Extra,IPC,3.50.E+07,17.656,0.753234846
35%,Elastic Shakedown,Extra,IPC,1.75.E+07,19.863,0.75878079
35%,Elastic Shakedown,Extra,IPC,0.00.E+00,22.07,0.754213154
35%,Elastic Shakedown,Extra,IPO,1.75.E+08,0,0.355076407
35%,Elastic Shakedown,Extra,IPO,1.58.E+08,2.207,0.394543847
35%,Elastic Shakedown,Extra,IPO,1.40.E+08,4.414,0.443887447
35%,Elastic Shakedown,Extra,IPO,1.23.E+08,6.621,0.507338808
35%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.591943277
35%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.710344409
35%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.892326618
35%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.910155785
35%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.875741337
35%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.815674883
35%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.754213146
35%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.488732829
