Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Extra,IPO,10%,Elastic Shakedown,22.07,0.00E+00,0.754712619
Extra,IPO,10%,Limit Load,0,1.75E+08,0.47232991
Extra,IPO,10%,Limit Load,2.207,1.58E+08,0.533854758
Extra,IPO,10%,Limit Load,4.414,1.40E+08,0.607913248
Extra,IPO,10%,Limit Load,6.621,1.23E+08,0.694508258
Extra,IPO,10%,Limit Load,8.828,1.05E+08,0.791139799
Extra,IPO,10%,Limit Load,11.035,8.75E+07,0.889816827
Extra,IPO,10%,Limit Load,13.242,7.00E+07,0.971248663
Extra,IPO,10%,Limit Load,15.449,5.25E+07,1.023132603
Extra,IPO,10%,Limit Load,17.656,3.50E+07,1.000792915
Extra,IPO,10%,Limit Load,19.863,1.75E+07,0.889331045
Extra,IPO,10%,Limit Load,22.07,0.00E+00,0.75471263
Extra,IPC,10%,Elastic Shakedown,0,1.75E+08,0.358869961
Extra,IPC,10%,Elastic Shakedown,2.207,1.58E+08,0.398763794
Extra,IPC,10%,Elastic Shakedown,4.414,1.40E+08,0.448644526
Extra,IPC,10%,Elastic Shakedown,6.621,1.23E+08,0.51276513
Extra,IPC,10%,Elastic Shakedown,8.828,1.05E+08,0.597098387
Extra,IPC,10%,Elastic Shakedown,11.035,8.75E+07,0.686708452
Extra,IPC,10%,Elastic Shakedown,13.242,7.00E+07,0.718724754
Extra,IPC,10%,Elastic Shakedown,15.449,5.25E+07,0.740675048
Extra,IPC,10%,Elastic Shakedown,17.656,3.50E+07,0.753890435
Extra,IPC,10%,Elastic Shakedown,19.863,1.75E+07,0.75942952
Extra,IPC,10%,Elastic Shakedown,22.07,0.00E+00,0.754712607
Extra,IPC,10%,Limit Load,0,1.75E+08,0.47232989
Extra,IPC,10%,Limit Load,2.207,1.58E+08,0.512943503
Extra,IPC,10%,Limit Load,4.414,1.40E+08,0.556850629
Extra,IPC,10%,Limit Load,6.621,1.23E+08,0.602470154
Extra,IPC,10%,Limit Load,8.828,1.05E+08,0.6475177
Extra,IPC,10%,Limit Load,11.035,8.75E+07,0.689820113
Extra,IPC,10%,Limit Load,13.242,7.00E+07,0.725637611
Extra,IPC,10%,Limit Load,15.449,5.25E+07,0.750931858
Extra,IPC,10%,Limit Load,17.656,3.50E+07,0.763407596
Extra,IPC,10%,Limit Load,19.863,1.75E+07,0.765829882
Extra,IPC,10%,Limit Load,22.07,0.00E+00,0.754712624
Extra,OP,10%,Elastic Shakedown,0,1.75E+08,0.523772969
Extra,OP,10%,Elastic Shakedown,2.207,1.58E+08,0.581969965
Extra,OP,10%,Elastic Shakedown,4.414,1.40E+08,0.646944787
Extra,OP,10%,Elastic Shakedown,6.621,1.23E+08,0.718884872
Extra,OP,10%,Elastic Shakedown,8.828,1.05E+08,0.793015991
Extra,OP,10%,Elastic Shakedown,11.035,8.75E+07,0.858828232
Extra,OP,10%,Elastic Shakedown,13.242,7.00E+07,0.8975039
Extra,OP,10%,Elastic Shakedown,15.449,5.25E+07,0.893530754
Extra,OP,10%,Elastic Shakedown,17.656,3.50E+07,0.861086079
Extra,OP,10%,Elastic Shakedown,19.863,1.75E+07,0.81225395
Extra,OP,10%,Elastic Shakedown,22.07,0.00E+00,0.754712615
Extra,OP,10%,Limit Load,0,1.75E+08,0.527004359
Extra,OP,10%,Limit Load,2.207,1.58E+08,0.583730014
Extra,OP,10%,Limit Load,4.414,1.40E+08,0.648577909
Extra,OP,10%,Limit Load,6.621,1.23E+08,0.720646674
Extra,OP,10%,Limit Load,8.828,1.05E+08,0.795557925
Extra,OP,10%,Limit Load,11.035,8.75E+07,0.863911706
Extra,OP,10%,Limit Load,13.242,7.00E+07,0.91101065
Extra,OP,10%,Limit Load,15.449,5.25E+07,0.921877214
Extra,OP,10%,Limit Load,17.656,3.50E+07,0.892736405
Extra,OP,10%,Limit Load,19.863,1.75E+07,0.830577218
Extra,OP,10%,Limit Load,22.07,0.00E+00,0.754712617
Crown,IPO,10%,Elastic Shakedown,0,1.75E+08,0.342826823
Crown,IPO,10%,Elastic Shakedown,2.207,1.58E+08,0.380933234
Crown,IPO,10%,Elastic Shakedown,4.414,1.40E+08,0.428578734
